Time	R1P5WFSIMES	R1P5WFSQMES	R1P5WFSGMES	R1P5WFSPMES	R1P5WFSIASK	R1P5WFSQASK	R1P5WFSGASK	R1P5WFSPASK	R1P5WFSCRFP	R1P5WFSCRFPP	R1P5WFSCRRP	R1P5WFSCRRPP	R1P5WFSGLDE	R1P5WFSPLDE	R1P5WFSDETA2	R1P5WFSCFQE2	R1P5WFSDFQES
-102.4	13348	14695	14.9963	47.7356	-2254	4531	1.59607	118.043	1.35969	-63.2428	1.29332	-168.805	0.000402799	0.0164795	14.6393	6.4527	0
-102.35	13343	14699	14.9968	47.7631	-1522	5679	1.75385	108.353	1.44822	-66.3135	1.25634	-168.849	0.00015105	0.0219727	15.0897	6.66059	0
-102.3	13352	14680	14.9924	47.7246	-3387	4963	1.76422	124.453	1.39277	-63.0505	1.36931	-174.293	0.000503499	0.0494385	15.1062	6.66821	0
-102.25	13341	14690	14.9941	47.7576	-2876	4888	1.81885	111.824	1.46964	-64.8907	1.28421	-172.947	0.0002014	0.0384521	15.2216	6.7216	0
-102.2	13342	14693	14.9941	47.7521	-1985	6051	1.84753	107.946	1.50082	-65.9235	1.19226	-168.805	0.00025175	0.0384521	14.7931	6.52359	0
-102.15	13343	14696	14.9955	47.7356	-2055	5550	1.68701	117.065	1.36778	-60.8972	1.30548	-173.018	0.000402799	0.0439453	14.2877	6.29104	0
-102.1	13344	14691	14.9902	47.7356	-3046	5387	1.90186	120.3	1.38991	-60.8533	1.42554	-175.496	0.000402799	0.0823975	15.1447	6.686	0
-102.05	13347	14693	14.9937	47.7246	-3323	4971	1.68488	121.729	1.51058	-65.4785	1.24925	-172.304	0.000503499	0.065918	15.4028	6.80562	0
-102	13347	14700	14.9937	47.7631	-1255	5595	1.84753	107.946	1.42252	-63.4296	1.28066	-172.051	0.00015105	0.0219727	14.837	6.54387	0
-101.95	13341	14693	14.9898	47.7191	-2986	4389	1.7453	125.266	1.34445	-60.7434	1.35817	-170.991	0.000553849	0.065918	14.6118	6.44006	0
-101.9	13337	14695	14.9955	47.7631	-2613	4913	1.78833	108.452	1.40943	-64.4348	1.29434	-171.947	0.00015105	0.0384521	15.1282	6.67838	0
-101.85	13338	14700	14.992	47.7466	-2060	5648	1.83868	116.043	1.51462	-72.1747	1.13274	-165.125	0.0003021	0.0494385	14.3317	6.31122	0
-101.8	13341	14699	14.9972	47.7356	-2036	5249	1.59027	117.4	1.2871	-61.8585	1.44859	-172.963	0.000402799	0.0274658	14.4031	6.34403	0
-101.75	13343	14698	14.9933	47.7411	-2810	4799	1.85577	114.802	1.24211	-60.4083	1.40756	-171.59	0.00035245	0.0494385	13.8812	6.10475	0
-101.7	13342	14691	14.9911	47.7521	-2539	5320	1.93481	115.851	1.39562	-65.6049	1.29408	-172.095	0.00025175	0.065918	13.9691	6.14498	0
-101.65	13343	14699	14.9972	47.774	-1783	6065	1.75598	103.618	1.35683	-64.6545	1.24976	-169.316	5.03499e-05	0.0109863	12.8815	5.64931	0
-101.6	13335	14698	14.9937	47.7631	-1555	5581	1.86371	109.775	1.32756	-65.3796	1.34728	-171.299	0.00015105	0.0219727	13.9526	6.13743	0
-101.55	13350	14686	14.9902	47.7356	-2477	5929	1.9873	117.12	1.39158	-60.9631	1.2723	-173.172	0.000402799	0.0878906	13.7769	6.05703	0
-101.5	13343	14695	14.9941	47.7411	-2234	5235	1.74255	116.268	1.43918	-69.7961	1.18998	-167.866	0.00035245	0.0384521	13.5681	5.9617	0
-101.45	13345	14692	14.9902	47.7356	-3051	5490	1.86188	119.883	1.49844	-70.4388	1.27027	-168.256	0.000402799	0.065918	14.7931	6.52359	0
-101.4	13342	14698	14.992	47.7466	-2934	5195	1.8454	113.923	1.33731	-65.5994	1.31232	-169.382	0.0003021	0.065918	13.5406	5.94917	0
-101.35	13334	14691	14.9881	47.7466	-2782	6004	2.00348	115.972	1.37016	-67.0825	1.41288	-171.804	0.0003021	0.0878906	14.4031	6.34403	0
-101.3	13339	14698	14.9902	47.7576	-2943	5391	1.96014	112.676	1.49558	-66.1102	1.26648	-172.7	0.0002014	0.0714111	14.9524	6.59712	0
-101.25	13352	14686	14.995	47.7246	-2323	5031	1.68427	119.394	1.28305	-61.8036	1.3759	-170.98	0.000503499	0.032959	14.1998	6.25071	0
-101.2	13345	14694	14.9941	47.7521	-2411	5324	1.81213	114.022	1.43942	-63.446	1.3222	-175.496	0.00025175	0.0439453	15.1831	6.7038	0
